,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.03518148884177208,1.0,0.028468705713748932,1.0
1,99,0.013035556301474571,1.0,0.06898272037506104,1.0
2,149,0.06745468825101852,0.984375,0.14611850678920746,0.96875
3,199,0.5737892389297485,0.8671875,0.000739392067771405,1.0
4,249,0.08054935187101364,0.96875,0.0080672986805439,1.0
5,299,0.1594679206609726,0.9140625,0.013303294777870178,1.0
6,349,0.11302334815263748,0.9296875,0.0761122778058052,0.984375
7,399,0.08354859799146652,0.953125,0.029411863535642624,1.0
8,449,0.06840953230857849,0.96875,0.01960025541484356,0.9921875
9,499,0.0518483892083168,0.9921875,0.04760129004716873,1.0
10,549,0.10954974591732025,0.9375,0.09266974776983261,0.9921875
11,599,0.03564826399087906,0.984375,0.06379590183496475,1.0
12,649,0.05022589862346649,0.984375,0.0732264295220375,0.984375
13,699,0.05531400442123413,0.96875,0.01111860852688551,1.0
14,749,0.1321830451488495,0.9375,0.0035040774382650852,1.0
15,799,0.11080971360206604,0.9609375,0.013538087718188763,1.0
16,849,0.1664171665906906,0.9140625,0.05280119925737381,0.984375
17,899,0.15196102857589722,0.9296875,0.048539258539676666,0.9921875
18,949,0.3221416473388672,0.8515625,0.11695096641778946,0.9921875
19,999,0.09172743558883667,0.96875,0.053499843925237656,0.9609375
