,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.09504511952400208,0.953125,0.11122482270002365,0.9765625
1,99,0.07951274514198303,0.96875,0.038525428622961044,0.9921875
2,149,0.03789576143026352,0.9921875,0.09740586578845978,0.984375
3,199,0.08020242303609848,0.9375,0.08306987583637238,0.9921875
4,249,0.07211001962423325,0.953125,0.06755838543176651,0.9921875
5,299,0.07844936102628708,0.9375,0.0718362107872963,0.9921875
6,349,0.19558346271514893,0.8828125,0.05207771435379982,1.0
7,399,0.04409743845462799,0.9765625,0.017689887434244156,1.0
8,449,0.11359085142612457,0.953125,0.04441440850496292,1.0
9,499,0.00998034980148077,1.0,0.01336968969553709,1.0
10,549,0.06920089572668076,0.9609375,0.039152443408966064,1.0
11,599,0.01041831262409687,0.9921875,0.002091673668473959,1.0
12,649,0.13471218943595886,0.9453125,0.023802218958735466,1.0
13,699,0.03568866103887558,0.9765625,0.04759979993104935,1.0
14,749,0.07161615788936615,0.9609375,0.02254747785627842,1.0
15,799,0.12209520488977432,0.953125,0.03339757025241852,0.9921875
16,849,0.05232160910964012,0.953125,0.03300067037343979,1.0
17,899,0.07712890952825546,0.96875,0.022538885474205017,1.0
18,949,0.02064797282218933,0.9921875,0.0032578380778431892,1.0
19,999,0.03951421007514,0.9765625,0.04177834466099739,1.0
