,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.025739550590515137,1.0,0.02495579794049263,1.0
1,99,0.05928830802440643,0.984375,0.09491993486881256,1.0
2,149,0.035144172608852386,0.984375,0.002538146451115608,1.0
3,199,0.01578424498438835,1.0,0.0045083495788276196,1.0
4,249,0.08073641359806061,0.9609375,0.073520228266716,0.9921875
5,299,0.015259250067174435,1.0,0.029023515060544014,0.984375
6,349,0.2130790650844574,0.8984375,0.08252240717411041,1.0
7,399,0.07000859081745148,0.96875,0.028955070301890373,1.0
8,449,0.07322060316801071,0.9765625,0.035380955785512924,1.0
9,499,0.11730552464723587,0.984375,0.010344816371798515,1.0
10,549,0.012023980729281902,0.9921875,0.008313708007335663,1.0
11,599,0.08835512399673462,0.9765625,0.01595751941204071,1.0
12,649,0.091799795627594,0.9609375,0.0882376879453659,0.9765625
13,699,0.045184388756752014,0.9765625,0.013340432196855545,1.0
14,749,0.10415773838758469,0.9609375,0.05854203924536705,0.9765625
15,799,0.13659362494945526,0.96875,0.0052874647080898285,1.0
16,849,0.02703046426177025,0.9921875,0.024857794865965843,1.0
17,899,0.04365020990371704,0.984375,0.01177484542131424,1.0
18,949,0.09424684196710587,0.984375,0.0012416319223120809,1.0
19,999,0.07505014538764954,0.96875,0.02425074391067028,1.0
