,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.6931071877479553,1.0,0.6931871771812439,0.0
1,99,0.6930595636367798,1.0,0.6932348012924194,0.0
2,149,0.6936871409416199,0.0,0.6926076412200928,1.0
3,199,0.6936082243919373,0.0,0.6926862597465515,1.0
4,249,0.6935036778450012,0.0,0.6927908658981323,1.0
5,299,0.6929540038108826,1.0,0.6933404803276062,0.0
6,349,0.6928980946540833,1.0,0.693396270275116,0.0
7,399,0.6932507753372192,0.0,0.6930436491966248,1.0
8,449,0.6936649084091187,0.0,0.6926298141479492,1.0
9,499,0.6929532289505005,1.0,0.6933411359786987,0.0
10,549,0.6935036182403564,0.0,0.6927908658981323,1.0
11,599,0.692604124546051,1.0,0.6936905384063721,0.0
12,649,0.6931848526000977,0.0,0.6931095123291016,1.0
13,699,0.6934510469436646,0.0,0.6928434371948242,1.0
14,749,0.6936128735542297,0.0,0.6926817297935486,1.0
15,799,0.6924751996994019,1.0,0.6938195824623108,0.0
16,849,0.693088948726654,1.0,0.6932054758071899,0.0
17,899,0.6928698420524597,1.0,0.6934245824813843,0.0
18,949,0.6934931874275208,0.0,0.6928013563156128,1.0
19,999,0.6932213306427002,0.0,0.6930730938911438,1.0
