,epoch,r_loss,r_acc,f_loss,f_acc
0,49,0.0033564469777047634,1.0,0.0020956075750291348,1.0
1,99,0.0006022676825523376,1.0,6.524802302010357e-05,1.0
2,149,0.002329477807506919,1.0,0.0002166426129406318,1.0
3,199,0.00010711079085012898,1.0,0.00014215699047781527,1.0
4,249,1.7735663277562708e-05,1.0,4.23855017288588e-05,1.0
5,299,3.802526043727994e-05,1.0,0.00015642655489500612,1.0
6,349,0.0001550281303934753,1.0,0.00021093353279866278,1.0
7,399,6.804755685152486e-06,1.0,0.00021291739540174603,1.0
8,449,2.4907037641241914e-06,1.0,9.166235395241529e-05,1.0
9,499,0.0001913993910420686,1.0,0.000704674981534481,1.0
10,549,0.004159664735198021,1.0,0.00028939038747921586,1.0
11,599,0.0012675062753260136,1.0,0.0015152404084801674,1.0
12,649,8.775158494245261e-05,1.0,3.1353072699857876e-05,1.0
13,699,0.00034720313851721585,1.0,0.00019168920698575675,1.0
14,749,4.041616921313107e-05,1.0,2.5583090973668732e-05,1.0
15,799,4.31027146987617e-05,1.0,5.087923682367546e-07,1.0
16,849,8.02745398686966e-06,1.0,9.548282832838595e-06,1.0
17,899,8.614724720246159e-06,1.0,1.8790144551417143e-08,1.0
18,949,1.8990442185895517e-05,1.0,7.812794736248435e-15,1.0
19,999,3.876518167089671e-05,1.0,3.3014791824825807e-06,1.0
